点数：12290
xmin:497110.02999878
xmax:497173.02999878
ymin:5419282.0
ymax:5419342.0
zmin:262.38000488
zmax:280.38000488

第一个格网单元(0,0,0)的点个数：0
第一个点的候选点数目：70
第一个点的k个点序号：[8248, 2, 12, 3, 10, 11]
所有点的邻域点平均距离均值: 0.7272960053894515
所有点的邻域点距离标准差均值: 0.1709730879529831
滤波后的点数: 11731
497110.27999878 5419312.5 267.26000977
497110.25 5419312.5 268.01000977
497110.27999878 5419313.0 267.97000122
497110.30999756 5419313.5 267.95001221
497111.02999878 5419330.5 267.29998779
497111.02999878 5419331.0 267.32000732
497110.97000122 5419314.0 267.64001465
497110.97000122 5419313.5 267.64001465
497110.94000244 5419313.0 267.67001343
497110.94000244 5419313.0 267.70001221
497110.91000366 5419312.5 267.75
497110.87999725 5419312.0 267.94000244
497110.58999634 5419305.0 268.3500061
497110.66000366 5419288.5 269.70001221
497111.83999634 5419315.5 267.89001465
497111.87999725 5419316.0 267.76000977
497112.37999725 5419312.5 267.17001343
497112.22000122 5419309.5 268.51000977
497112.08999634 5419287.5 269.67001343
497112.87999725 5419305.5 268.6000061
497112.91000366 5419306.0 268.39001465
497113.94000244 5419329.5 267.23001099
497113.97000122 5419330.0 267.20001221
497113.58999634 5419306.0 268.88000488
497113.55999756 5419305.5 268.64001465
497112.66000366 5419284.0 269.82998657
497112.66000366 5419283.5 269.82000732
497112.62000275 5419282.5 269.73001099
497113.41000366 5419284.0 269.48001099
497114.33999634 5419306.0 268.76000977
497115.22000122 5419325.5 267.57998657
497115.91000366 5419326.5 267.57000732
497115.83999634 5419325.5 267.79998779
497115.80999756 5419325.0 267.66000366
497115.0 5419287.5 269.44000244
497115.02999878 5419288.5 269.79000854
497116.52999878 5419321.5 267.39001465
497116.69000244 5419325.5 267.42001343
497116.72000122 5419326.0 267.26000977
497117.37999725 5419326.0 267.26998901
497116.58999634 5419308.0 268.6000061
497116.58999634 5419307.5 268.3500061
497117.30999756 5419307.0 268.32000732
497117.30999756 5419307.5 268.70001221
497117.33999634 5419308.0 268.75
497118.02999878 5419323.5 267.54000854
497118.12000275 5419325.5 267.60998535
497118.16000366 5419326.5 267.39001465
497118.19000244 5419326.5 267.42001343
497118.80999756 5419326.5 267.41000366
497118.69000244 5419323.5 267.19000244
497118.02999878 5419308.0 268.51000977
497117.97000122 5419306.5 268.70001221
497117.16000366 5419287.5 269.63000488
497119.5 5419290.0 269.26000977
497120.22000122 5419306.0 268.25
497120.25 5419306.5 268.20001221
497120.30999756 5419307.5 268.20001221
497120.30999756 5419308.0 268.25
497121.52999878 5419321.5 267.54000854
497120.94000244 5419308.0 268.3500061
497120.87999725 5419306.0 268.20001221
497120.83999634 5419305.5 268.25
497120.05999756 5419288.0 269.54000854
497124.02999878 5419325.5 267.3500061
497123.12000275 5419290.5 269.39001465
497123.83999634 5419290.0 269.17001343
497123.87999725 5419290.5 269.07998657
497125.16000366 5419318.0 267.32000732
497125.41000366 5419324.0 267.42001343
497125.44000244 5419324.5 267.3500061
497126.12000275 5419326.0 267.41000366
497126.05999756 5419324.0 267.35998535
497126.02999878 5419323.5 267.51000977
497125.80999756 5419319.0 267.66000366
497125.80999756 5419318.5 267.16000366
497125.77999878 5419318.0 267.57000732
497124.52999878 5419290.0 269.19000244
497124.52999878 5419290.0 269.07000732
497125.27999878 5419290.5 268.97000122
497125.72000122 5419299.0 268.76000977
497125.75 5419300.0 268.64001465
497125.77999878 5419300.5 268.13000488
497126.05999756 5419307.0 267.97000122
497126.58999634 5419318.0 267.39001465
497126.58999634 5419318.5 267.82998657
497126.87999725 5419324.0 267.32000732
497126.47000122 5419301.0 268.23001099
497126.33999634 5419298.5 268.57000732
497125.91000366 5419288.5 269.51998901
